country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Canada,2023,6.8412065505981445,10.794280052185059,0.9024729132652283,71.5,0.8470964431762695,0.19603276252746582,0.46792513132095337,0.7263234257698059,0.3036596179008484
Chad,2023,4.544095516204834,7.253596782684326,0.6085478663444519,53.5,0.5860631465911865,0.13805454969406128,0.7550275921821594,0.5414711833000183,0.46650636196136475
Chile,2023,6.229820251464844,10.154905319213867,0.8743805289268494,70.5999984741211,0.814988374710083,-0.026870742440223694,0.83594512939453125,0.7785534858703613,0.2630908489227295
China,2023,6.144763946533203,9.860808372497559,0.7969825267791748,69,0.7933783531188965,-0.03157095983624458,NA,0.7079851627349854,0.21035005152225494
Colombia,2023,5.904404163360596,9.666558265686035,0.833208441734314,69.69999694824219,0.8234710693359375,-0.14246459305286407,0.8702266812324524,0.754103422164917,0.2854169011116028
Comoros,2023,3.5880563259124756,8.094624519348145,0.4825874865055084,59.599998474121094,0.4522113502025604,0.0041974494233727455,0.7041265368461609,0.5350395441055298,0.4046812057495117
Congo (Brazzaville),2023,4.953729629516602,8.0860137939453125,0.5607277154922485,57.5,0.702421247959137,-0.050732214003801346,0.7450444102287292,0.5850922465324402,0.4091673195362091
Congo (Kinshasa),2023,3.3833975791931152,7.075861930847168,0.5722747445106506,55.79999923706055,0.6873031854629517,0.152351975440979,0.8372732996940613,0.5457320213317871,0.4973513185977936
Costa Rica,2023,7.384068965911865,10.020896911621094,0.8745720386505127,70,0.9333814978599548,-0.0666854977607727,0.7669379115104675,0.8063220977783203,0.28179460763931274
Croatia,2023,5.958378791809082,10.461684226989746,0.9085949659347534,69.30000305175781,0.5732210874557495,-0.20536990463733673,0.8104672431945801,0.6098355054855347,0.2303737998008728
Cyprus,2023,6.070594310760498,NA,0.80283123254776,73.19999694824219,0.729809582233429,NA,0.8398323655128479,0.6815126538276672,0.29686352610588074
Czechia,2023,6.8270063400268555,10.638617515563965,0.9266955852508545,69.30000305175781,0.9060654044151306,0.025248011574149132,0.8316906690597534,0.7501183152198792,0.2543324828147888
Denmark,2023,7.50419282913208,10.996293067932129,0.9156695604324341,71.5,0.9227390885353088,0.08943353593349457,0.18356677889823914,0.7570056915283203,0.22948944568634033
Dominican Republic,2023,5.921262264251709,9.90037727355957,0.8602536916732788,64.80000305175781,0.8667314052581787,-0.10674385726451874,0.6674948334693909,0.7302570343017578,0.2555694282054901
Ecuador,2023,5.8517537117004395,9.307243347167969,0.7823009490966797,69.5,0.7307334542274475,-0.10620686411857605,0.839505136013031,0.7630280256271362,0.3589973449707031
Egypt,2023,3.8806402683258057,9.479594230651855,0.7296708822250366,64,0.6253407597541809,-0.21025224030017853,NA,0.4358569085597992,0.35232993960380554
El Salvador,2023,6.481846809387207,9.167494773864746,0.743965208530426,66.30000305175781,0.9420214891433716,-0.10375024378299713,0.49558529257774353,0.8119229078292847,0.31803855299949646
Estonia,2023,6.429872989654541,10.516721725463867,0.9581712484359741,70.0999984741211,0.9145733118057251,0.03150103986263275,0.3337305784225464,0.7648999094963074,0.18229584395885468
Ethiopia,2023,4.092648506164551,7.809025287628174,0.6703498363494873,61.5,0.6311467885971069,0.21184399724006653,0.800479531288147,0.538413941860199,0.29896247386932373
